Model,MAE,RMSE,R2,WMAE
Extra Trees,1243.2063663875513,2882.008667327454,0.9836246939171236,1392.82
Random Forest,1265.9024059400344,3060.803473494002,0.9815298784975864,1410.39
XGBoost,2495.9227280663667,4460.41409109593,0.960776240299049,2588.56
LightGBM,2983.9079089840147,4910.926770773823,0.9524527090434907,3091.64
CatBoost,4688.414083492151,7821.456205568711,0.8793925605926248,4819.17
